scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
A-2022-08-14,highVac_optImm,2022-08-14,1 wk ahead inc hosp,2022-08-20,3,US,0.6858410068527723,0-130
A-2022-08-14,highVac_optImm,2022-08-14,2 wk ahead inc hosp,2022-08-27,3,US,0.43829138032373055,0-130
A-2022-08-14,highVac_optImm,2022-08-14,3 wk ahead inc hosp,2022-09-03,3,US,0.6147979209808624,0-130
A-2022-08-14,highVac_optImm,2022-08-14,4 wk ahead inc hosp,2022-09-10,3,US,0.6328760693138599,0-130
A-2022-08-14,highVac_optImm,2022-08-14,5 wk ahead inc hosp,2022-09-17,3,US,4.981847947158659,0-130
A-2022-08-14,highVac_optImm,2022-08-14,6 wk ahead inc hosp,2022-09-24,3,US,20.05326763444151,0-130
A-2022-08-14,highVac_optImm,2022-08-14,7 wk ahead inc hosp,2022-10-01,3,US,92.12206640138743,0-130
A-2022-08-14,highVac_optImm,2022-08-14,8 wk ahead inc hosp,2022-10-08,3,US,220.4365506999437,0-130
A-2022-08-14,highVac_optImm,2022-08-14,9 wk ahead inc hosp,2022-10-15,3,US,390.1321347491748,0-130
A-2022-08-14,highVac_optImm,2022-08-14,10 wk ahead inc hosp,2022-10-22,3,US,370.3218595943745,0-130
A-2022-08-14,highVac_optImm,2022-08-14,11 wk ahead inc hosp,2022-10-29,3,US,269.12047252518084,0-130
A-2022-08-14,highVac_optImm,2022-08-14,12 wk ahead inc hosp,2022-11-05,3,US,494.9236856455712,0-130
A-2022-08-14,highVac_optImm,2022-08-14,13 wk ahead inc hosp,2022-11-12,3,US,1103.0956474005516,0-130
A-2022-08-14,highVac_optImm,2022-08-14,14 wk ahead inc hosp,2022-11-19,3,US,1454.8805874268542,0-130
A-2022-08-14,highVac_optImm,2022-08-14,15 wk ahead inc hosp,2022-11-26,3,US,2285.8194432054734,0-130
A-2022-08-14,highVac_optImm,2022-08-14,16 wk ahead inc hosp,2022-12-03,3,US,3883.2941701006966,0-130
A-2022-08-14,highVac_optImm,2022-08-14,17 wk ahead inc hosp,2022-12-10,3,US,4154.240181503448,0-130
A-2022-08-14,highVac_optImm,2022-08-14,18 wk ahead inc hosp,2022-12-17,3,US,16187.250709862665,0-130
A-2022-08-14,highVac_optImm,2022-08-14,19 wk ahead inc hosp,2022-12-24,3,US,17171.528064670416,0-130
A-2022-08-14,highVac_optImm,2022-08-14,20 wk ahead inc hosp,2022-12-31,3,US,19654.087679671913,0-130
A-2022-08-14,highVac_optImm,2022-08-14,21 wk ahead inc hosp,2023-01-07,3,US,23859.772105969223,0-130
A-2022-08-14,highVac_optImm,2022-08-14,22 wk ahead inc hosp,2023-01-14,3,US,16179.947285446024,0-130
A-2022-08-14,highVac_optImm,2022-08-14,23 wk ahead inc hosp,2023-01-21,3,US,14562.856557130779,0-130
A-2022-08-14,highVac_optImm,2022-08-14,24 wk ahead inc hosp,2023-01-28,3,US,13246.89115148581,0-130
A-2022-08-14,highVac_optImm,2022-08-14,25 wk ahead inc hosp,2023-02-04,3,US,9502.172667191177,0-130
A-2022-08-14,highVac_optImm,2022-08-14,26 wk ahead inc hosp,2023-02-11,3,US,9861.516804491348,0-130
A-2022-08-14,highVac_optImm,2022-08-14,27 wk ahead inc hosp,2023-02-18,3,US,8211.315998862585,0-130
