scenario_id,scenario_name,model_projection_date,target,target_end_date,quantile,type,location,value,age_group
B-2022-11-15,highVE_pesImm,2022-11-15,18 wk ahead peak time hosp,2023-03-18,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,19 wk ahead peak time hosp,2023-03-25,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,20 wk ahead peak time hosp,2023-04-01,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,21 wk ahead peak time hosp,2023-04-08,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,22 wk ahead peak time hosp,2023-04-15,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,23 wk ahead peak time hosp,2023-04-22,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,24 wk ahead peak time hosp,2023-04-29,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,25 wk ahead peak time hosp,2023-05-06,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,26 wk ahead peak time hosp,2023-05-13,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,27 wk ahead peak time hosp,2023-05-20,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,28 wk ahead peak time hosp,2023-05-27,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,29 wk ahead peak time hosp,2023-06-03,NA,point,06,1,0-130
B-2022-11-15,highVE_pesImm,2022-11-15,1 wk ahead peak time hosp,2022-11-19,NA,point,06,0,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,2 wk ahead peak time hosp,2022-11-26,NA,point,06,0,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,3 wk ahead peak time hosp,2022-12-03,NA,point,06,0,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,4 wk ahead peak time hosp,2022-12-10,NA,point,06,0.25,0-4
