scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,2,42,22,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,3,42,24,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,4,42,20,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,5,42,26,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,6,42,24,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,7,42,15,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,8,42,22,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,9,42,23,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,10,42,20,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,11,42,34,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,12,42,37,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,13,42,33,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,14,42,26,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,15,42,30,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,16,42,27,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,17,42,25,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,18,42,25,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,19,42,26,0-130
A-2022-11-13,highVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,20,42,26,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,1,42,26,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,2,42,35,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,3,42,22,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,4,42,38,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,5,42,28,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,6,42,39,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,7,42,33,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,8,42,25,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,9,42,25,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,10,42,28,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,11,42,26,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,12,42,31,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,13,42,33,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,14,42,25,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,15,42,39,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,16,42,17,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,17,42,45,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,18,42,26,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,19,42,31,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,20,42,33,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,1,42,40,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,2,42,60,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,3,42,52,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,4,42,62,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,5,42,50,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,6,42,55,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,7,42,58,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,8,42,64,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,9,42,52,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,10,42,34,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,11,42,40,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,12,42,49,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,13,42,48,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,14,42,41,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,15,42,41,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,16,42,50,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,17,42,52,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,18,42,51,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,19,42,52,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,20,42,39,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,1,42,58,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,2,42,71,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,3,42,47,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,4,42,42,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,5,42,54,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,6,42,70,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,7,42,57,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,8,42,64,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,9,42,71,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,10,42,72,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,11,42,71,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,12,42,61,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,13,42,65,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,14,42,53,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,15,42,62,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,16,42,48,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,17,42,37,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,18,42,72,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,19,42,72,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,2 wk ahead inc hosp,2022-11-26,20,42,69,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,1,42,34,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,2,42,40,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,3,42,30,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,4,42,42,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,5,42,37,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,6,42,35,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,7,42,37,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,8,42,35,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,9,42,18,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,10,42,39,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,11,42,37,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,12,42,49,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,13,42,44,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,14,42,24,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,15,42,45,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,16,42,35,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,17,42,27,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,18,42,27,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,19,42,37,0-130
A-2022-11-13,highVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,20,42,36,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,1,42,43,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,2,42,42,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,3,42,44,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,4,42,40,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,5,42,42,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,6,42,44,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,7,42,51,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,8,42,63,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,9,42,38,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,10,42,42,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,11,42,40,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,12,42,51,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,13,42,61,0-130
