"sample","value","target_end_date","scenario_id","scenario_name","model_projection_date","location","target","age_group"
87,5985.13840669214,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
88,6432.33621975214,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
89,5590.63055471089,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
90,6211.10523682663,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
91,6350.53765110278,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
92,4985.33119213847,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
93,6623.65803241239,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
94,6375.39100880696,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
95,5968.99774913536,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
96,5552.34423447689,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
97,6241.56863277133,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
98,5837.01760213369,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
99,6332.32696038486,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
100,5807.20679183503,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
1,7228.30107397344,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
2,7714.52162810428,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
3,6975.28328474395,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
4,7660.4597449668,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
5,7968.65753382701,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
6,7738.93565296726,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
7,7604.73122760085,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
8,6956.59121466964,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
9,7204.97826369145,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
10,7128.28756711461,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
11,7336.88212196382,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
12,7912.57734892648,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
13,8089.56720304313,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
14,7395.19790093298,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
15,7614.4326029471,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
16,7793.03252430232,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
17,7835.62728985214,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
18,7522.95211245273,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
19,8553.01269049856,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
20,7258.45143924398,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
21,6695.85458194412,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
22,7137.96392812365,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
23,7926.16667095564,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
24,8089.05776066389,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
25,8319.15602445858,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
26,7882.50983012793,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
27,6767.85969060048,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
28,7915.31798543948,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
29,7770.61263699219,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
30,5793.33156458258,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
31,7709.0687335178,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
32,7397.56501666825,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
33,7214.46557137441,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
34,7541.26180571522,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
35,6904.42894577283,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
36,7268.45346850466,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
37,7402.17772124356,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
38,7644.84775248893,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
