"sample","value","target_end_date","scenario_name","location","target","age_group","scenario_id","model_projection_date"
93,5716.24303103246,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
94,5294.84976844776,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
95,5025.3149943324,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
96,4460.1079680078,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
97,5516.01697897893,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
98,4750.30778356282,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
99,5193.38050247637,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
100,4972.37023258364,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
1,6302.53531014951,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
2,6181.09234606025,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
3,6086.39642246195,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
4,6487.8423303356,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
5,6663.04347932853,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
6,6402.90324202799,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
7,6647.72942804478,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
8,6291.63685109248,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
9,6183.33910989354,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
10,6348.21028642667,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
11,6617.34769205026,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
12,6656.95287383881,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
13,6632.49946243066,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
14,6292.66498086347,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
15,6507.34569042498,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
16,6625.16801673235,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
17,7014.14638073331,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
18,6370.69630607466,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
19,6971.84342418797,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
20,6244.21411055467,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
21,5803.0764662788,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
22,6323.60003465122,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
23,6340.34265513989,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
24,6637.19487733416,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
25,6785.80667091366,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
26,6412.96706331907,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
27,5848.10906176609,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
28,6591.90932235789,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
29,6811.27788227593,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
30,4875.35218686459,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
31,6432.77622204979,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
32,6174.76172222839,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
33,5964.86296441596,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
34,6170.29327608419,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
35,5869.67786136408,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
36,6097.6686464411,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
37,6407.45012588829,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
38,6298.73350664825,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
39,6526.58698779498,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
40,6331.30340888399,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
41,6768.67287187606,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
42,6325.16941956157,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
43,5889.43832056821,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
44,6393.13471500966,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
45,6632.46310379975,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
46,6629.97400021769,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
47,6603.54961815893,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
48,6893.34007507813,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
49,6451.66014150204,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
50,6516.88392428882,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
51,6203.55216362433,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
52,5904.59047754586,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
53,5807.73098674406,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
54,6246.09946570147,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
55,6298.11112742569,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
56,5960.59685930863,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
57,6520.59919723524,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
58,6098.07681648566,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
59,5848.29251576585,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
60,6527.94747222054,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
61,5475.98204513777,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
62,6445.21331857128,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
63,6472.62648298802,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
64,6224.90531487084,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
65,6500.20548984252,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
66,6604.08413561151,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
67,6175.29233028027,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
68,6014.52145635767,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
69,6666.72089873787,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
70,6441.91132206324,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
71,6134.39676690001,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
72,6642.79489036813,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
73,6908.12030310203,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
74,6444.44275607298,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
75,6125.1025705268,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
76,5880.28766027063,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
77,6280.79767106437,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
78,5870.91610378893,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
79,6578.02382227921,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
80,5673.28376623373,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
